page	event	quadrant	sample_name	position	oscillating_cn_2&3_states	cn_segments	image_path
151	1	Upper_Left	BTCA_donor_A035		77, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_151_part_1.png
151	2	Upper_Right	BTCA_donor_A035		77, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_151_part_2.png
151	3	Lower_Left	RK159		84, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_151_part_3.png
151	4	Lower_Right	RK310		68, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_151_part_4.png
152	1	Upper_Left	24f21425-b001-4986-aedf-5b4dd851c6ad		64, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_152_part_1.png
152	2	Upper_Right	419deaac-ea45-4bdd-9fa0-b5cd8429b44f		66, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_152_part_2.png
152	3	Lower_Left	8c1dd7f7-b74a-4fa2-b6a7-86f0348d2567		84, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_152_part_3.png
152	4	Lower_Right	CGP_donor_1691134		45, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_152_part_4.png
153	1	Upper_Left	CGP_donor_1347723		48, 4		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_153_part_1.png
153	2	Upper_Right	CGP_donor_1397278		42, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_153_part_2.png
153	3	Lower_Left	CGP_donor_1069291		46, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_153_part_3.png
153	4	Lower_Right	CGP_donor_1069291		46, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_153_part_4.png
154	1	Upper_Left	CGP_donor_1347720		37, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_154_part_1.png
154	2	Upper_Right	CGP_donor_1347720		37, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_154_part_2.png
154	3	Lower_Left	CGP_donor_1353432		89, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_154_part_3.png
154	4	Lower_Right	CGP_donor_1363963		18, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_154_part_4.png
155	1	Upper_Left	CGP_donor_1374619		38, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_155_part_1.png
155	2	Upper_Right	CGP_donor_1472394		7, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_155_part_2.png
155	3	Lower_Left	1549dc64-3dab-43fc-96e9-b07d520957e1		79, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_155_part_3.png
155	4	Lower_Right	174850b4-5ec2-462b-a890-89bd1716b3c2		47, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_155_part_4.png
156	1	Upper_Left	5ed024e8-d05e-4c65-9441-eda9930ccc82		38, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_156_part_1.png
156	2	Upper_Right	6956473b-92e5-4069-a26b-b48e280e76f2		56, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_156_part_2.png
156	3	Lower_Left	75113445-d2d6-44a0-866c-c9175e6d214b		76, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_156_part_3.png
156	4	Lower_Right	790ff5db-b7f3-4946-aaed-305f66b1dd6a		54, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_156_part_4.png
157	1	Upper_Left	88db1340-e4bf-451a-87c0-6e9168296f5e		53, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_157_part_1.png
157	2	Upper_Right	9f6be944-83de-42ab-8738-f0022f475e61		6, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_157_part_2.png
157	3	Lower_Left	a9b7d7fe-be31-4f71-afee-c1bfdf511888		47, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_157_part_3.png
157	4	Lower_Right	a9b7d7fe-be31-4f71-afee-c1bfdf511888		47, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_157_part_4.png
158	1	Upper_Left	d2f2560c-ec80-4fea-9474-c47a2e85ea95		67, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_158_part_1.png
158	2	Upper_Right	e4fc0909-f284-4471-866d-d8967b6adcbc		49, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_158_part_2.png
158	3	Lower_Left	f05d314c-5ec5-4e2a-b785-9a702716f111		89, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_158_part_3.png
158	4	Lower_Right	CGP_donor_1451422		57, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_158_part_4.png
159	1	Upper_Left	a3be445a-a592-4073-815b-47ae41f9c4a0		77, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_159_part_1.png
159	2	Upper_Right	941f75a1-fea4-4539-ba69-60bb11608f6d		68, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_159_part_2.png
159	3	Lower_Left	941f75a1-fea4-4539-ba69-60bb11608f6d		68, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_159_part_3.png
159	4	Lower_Right	e733f289-a0ec-478c-aad9-1378ad26ddfa		64, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_159_part_4.png
160	1	Upper_Left	eb59cf69-1997-41b9-bf69-69ad7da292a1		4, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_160_part_1.png
160	2	Upper_Right	17dffffc-65d6-4209-9075-18a441001f0f		48, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_160_part_2.png
160	3	Lower_Left	3258cb3b-f63b-463c-b2e4-d638149157c5		81, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_160_part_3.png
