sample_name	Chr	Start	End	cn_2	cn_3	cn_segments	image_path	label	shatterSeek_label	shatterSeek_label_TorF
CPCG0211	14	23310029.0	91217856.0	11.0	13.0	18.0	HC_page_198_part_2.png	1	1	1
39f68467-3d37-4b19-aa43-ed7b120c619d	6	29105248.0	126918492.0	4.0	11.0	64.0	LC_page_196_part_1.png	1	1	1
OCCAMS-ST-029	6	80712446.0	105721586.0	13.0	20.0	20.0	HC_page_96_part_4.png	1	1	1
af37d8f0-fea0-47f6-be0a-2fb55a5da5c4	10	294814.0	131732983.0	11.0	11.0	23.0	D3_page_150_part_3.png	0	0	1
PCSI_0078	18	49556708.0	77332270.0	4.0	7.0	15.0	LC_page_149_part_1.png	1	1	1
52292ffc-0902-4d97-b461-20723987a177	14	20673089.0	49273351.0	5.0	12.0	12.0	LC_page_93_part_3.png	1	1	1
CGP_donor_1475202	1	80341830.0	241765599.0	14.0	18.0	27.0	HC_page_39_part_1.png	1	1	1
CGP_donor_1199131	8	41127422.0	122943006.0	4.0	6.0	33.0	LC_page_31_part_2.png	1	1	1
64bb5550-2735-4401-a0db-58ec1020a32d	17	35502073.0	70069761.0	4.0	4.0	26.0	LC_page_90_part_1.png	1	1	1
24118b8f-59fe-482a-aed3-7b1bde1571b7	3	41357769.0	182883840.0	3.0	3.0	25.0	D4_page_65_part_4.png	0	0	1
MELA-0167	11	14788852.0	130055978.0	7.0	12.0	188.0	HC_page_238_part_1.png	1	1	1
AOCS-117	6	30232935.0	32110297.0	4.0	6.0	6.0	D3_page_84_part_2.png	0	0	1
9435447e-d65f-408b-863b-6576b1d652dd	10	87322920.0	113509134.0	7.0	21.0	26.0	HC_page_57_part_3.png	1	1	1
OCCAMS-RS-031	14	25421773.0	106863854.0	5.0	6.0	19.0	LC_page_83_part_3.png	1	1	1
e8ac39e6-377a-412c-b18d-f6c4fc654ec6	7	1981292.0	145607230.0	7.0	9.0	20.0	D3_page_50_part_2.png	0	0	1
993103b1-e5a1-4c33-8629-be53ebc41d64	X	29228730.0	35455689.0	4.0	10.0	15.0	LC_page_53_part_2.png	1	1	1
CGP_donor_1691147	1	146691688.0	249090423.0	13.0	67.0	79.0	HC_page_20_part_4.png	1	1	1
MELA-0187	6	64985024.0	128497164.0	6.0	14.0	24.0	LC_page_182_part_4.png	1	1	1
MELA-0231	12	4111597.0	34617370.0	7.0	7.0	27.0	HC_page_244_part_1.png	1	1	1
b58ad350-5140-4fa8-bc2c-24bca8395f3a	9	4845278.0	126061906.0	4.0	9.0	27.0	D4_page_15_part_1.png	0	0	1
ICGC_0020	6	36021238.0	98348848.0	9.0	9.0	9.0	HC_page_153_part_4.png	1	1	1
CGP_donor_1691214	2	11400.0	232123609.0	6.0	9.0	70.0	LC_page_16_part_1.png	1	1	1
