page	event	quadrant	sample_name	position	oscillating_cn_2&3_states	cn_segments	image_path
1	1	Upper_Left	3ed614e7-f356-4d87-985b-d3bbbae3bb40	1:19030071−246820847	4, 8	45	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_1_part_1.png
1	2	Upper_Right	3ed614e7-f356-4d87-985b-d3bbbae3bb40	10:42525573−129255365	3, 6	39	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_1_part_2.png
1	3	Lower_Left	904a8757-e0c5-41ef-b583-c8f170caaac1	7:67027597−102763105	3, 5	15	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_1_part_3.png
1	4	Lower_Right	9c274536-3ca1-4f0e-93a8-1688074d862f	11:58799118−69868742	3, 4	21	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_1_part_4.png
2	1	Upper_Left	CGP_donor_1397083	1:42469204−79649615	3, 6	43	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_2_part_1.png
2	2	Upper_Right	CGP_donor_1437406	16:52040498−88719044	3, 4	91	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_2_part_2.png
2	3	Lower_Left	CGP_donor_1437406	21:10753819−45129141	5, 6	19	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_2_part_3.png
2	4	Lower_Right	CGP_donor_1437406	X:13871047−56933399	3, 5	113	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_2_part_4.png
3	1	Upper_Left	CGP_donor_1437409	17:12496853−19488850	3, 4	29	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_3_part_1.png
3	2	Upper_Right	CGP_donor_1475256	17:7577437−22095440	3, 5	54	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_3_part_2.png
3	3	Lower_Left	CGP_donor_1528371	6:66519078−75032715	3, 4	37	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_3_part_3.png
3	4	Lower_Right	CGP_donor_1528371	18:23406391−41615950	3, 8	12	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_3_part_4.png
