page	event	quadrant	sample_name	position	oscillating_cn_2&3_states	cn_segments	image_path
1	1	Upper_Left	BTCA_donor_A153	1:218376406−246159643	5, 8	8.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_1_part_1.png
1	2	Upper_Right	096b4f32-10c1-4737-a0dd-cae04c54ee33	13:42975600−107442606	10, 10	10.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_1_part_2.png
1	3	Lower_Left	24f21425-b001-4986-aedf-5b4dd851c6ad	X:6615453−133296546	7, 9	30.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_1_part_3.png
1	4	Lower_Right	419deaac-ea45-4bdd-9fa0-b5cd8429b44f	13:20578507−113387449	12, 12	12.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_1_part_4.png
2	1	Upper_Left	556fcbc8-172a-4af1-8822-ae036e8d68e8	11:43215596−134760626	5, 7	13.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_2_part_1.png
2	2	Upper_Right	904a8757-e0c5-41ef-b583-c8f170caaac1	3:1555799−137115914	7, 7	13.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_2_part_2.png
2	3	Lower_Left	cb664eef-be6f-44ef-aa90-6f6da0e6440a	8:47026265−51150625	4, 4	12.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_2_part_3.png
2	4	Lower_Right	CGP_donor_1437403	9:3641509−137589235	8, 10	28.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_2_part_4.png
3	1	Upper_Left	CGP_donor_1475256	7:43498754−52862136	4, 4	6.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_3_part_1.png
3	2	Upper_Right	CGP_donor_1691147	3:78199279−90320009	8, 8	8.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_3_part_2.png
3	3	Lower_Left	CGP_donor_1691212	9:14638768−26392657	7, 7	14.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_3_part_3.png
3	4	Lower_Right	CGP_donor_1691217	2:59017074−241406602	14, 40	40.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_3_part_4.png
4	1	Upper_Left	CGP_donor_1691217	5:82186991−145068339	6, 17	17.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_4_part_1.png
4	2	Upper_Right	CGP_donor_1691217	11:819052−86320878	14, 25	25.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_4_part_2.png
