page	event	quadrant	sample_name	position	oscillating_cn_2&3_states	cn_segments	image_path	Chr	Start	End	source	composite_key
215	3	Lower_Left	0065_CRUK_PC_0065	1:75879779−120025710	11, 11	11.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_215_part_3.png	1	75879779	120025710	HC	0065_CRUK_PC_0065_1_75879779_120025710
215	4	Lower_Right	0065_CRUK_PC_0065	3:27203160−193771532	10, 10	10.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_215_part_4.png	3	27203160	193771532	HC	0065_CRUK_PC_0065_3_27203160_193771532
216	1	Upper_Left	0067_CRUK_PC_0067	3:21978772−168757004	9, 9	9.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_216_part_1.png	3	21978772	168757004	HC	0067_CRUK_PC_0067_3_21978772_168757004
216	2	Upper_Right	0067_CRUK_PC_0067	8:64237001−88665512	11, 11	11.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_216_part_2.png	8	64237001	88665512	HC	0067_CRUK_PC_0067_8_64237001_88665512
216	3	Lower_Left	0067_CRUK_PC_0067	9:26921758−30071295	9, 9	9.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_216_part_3.png	9	26921758	30071295	HC	0067_CRUK_PC_0067_9_26921758_30071295
217	2	Upper_Right	0072_CRUK_PC_0072	10:27291487−93614346	13, 13	13.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_217_part_2.png	10	27291487	93614346	HC	0072_CRUK_PC_0072_10_27291487_93614346
217	3	Lower_Left	0072_CRUK_PC_0072	12:38382189−133229840	17, 17	17.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_217_part_3.png	12	38382189	133229840	HC	0072_CRUK_PC_0072_12_38382189_133229840
216	4	Lower_Right	0072_CRUK_PC_0072	1:67986816−86784290	20, 20	20.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_216_part_4.png	1	67986816	86784290	HC	0072_CRUK_PC_0072_1_67986816_86784290
217	1	Upper_Left	0072_CRUK_PC_0072	8:12443102−41913983	10, 10	10.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_217_part_1.png	8	12443102	41913983	HC	0072_CRUK_PC_0072_8_12443102_41913983
218	4	Lower_Right	0077_CRUK_PC_0077	12:10457601−23828590	7, 7	7.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_218_part_4.png	12	10457601	23828590	HC	0077_CRUK_PC_0077_12_10457601_23828590
217	4	Lower_Right	0077_CRUK_PC_0077	1:148930966−248810132	53, 56	78.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_217_part_4.png	1	148930966	248810132	HC	0077_CRUK_PC_0077_1_148930966_248810132
218	1	Upper_Left	0077_CRUK_PC_0077	4:32778170−136168076	16, 28	28.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_218_part_1.png	4	32778170	136168076	HC	0077_CRUK_PC_0077_4_32778170_136168076
218	2	Upper_Right	0077_CRUK_PC_0077	5:46053227−172902121	16, 22	22.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_218_part_2.png	5	46053227	172902121	HC	0077_CRUK_PC_0077_5_46053227_172902121
218	3	Lower_Left	0077_CRUK_PC_0077	6:697961−127720347	9, 13	13.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_218_part_3.png	6	697961	127720347	HC	0077_CRUK_PC_0077_6_697961_127720347
117	1	Upper_Left	0077_CRUK_PC_0077	8:50216666−93610639	9, 9	9.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_117_part_1.png	8	50216666	93610639	D3	0077_CRUK_PC_0077_8_50216666_93610639
117	2	Upper_Right	0078_CRUK_PC_0078	4:32885214−180841057	21, 21	21.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_117_part_2.png	4	32885214	180841057	D3	0078_CRUK_PC_0078_4_32885214_180841057
