sample_name	Chr	Start	End	cn_2	cn_3	cn_segments	image_path	label	shatterSeek_label	shatterSeek_label_TorF
CGP_donor_1691133	18	20691527	64759312	7	9	43	HC_page_20_part_1.png	1	1	1
RK003	17	35358262	80803775	5	5	24	LC_page_98_part_3.png	1	1	1
A17-0095_CRUK_PC_0095	7	740003	154793672	22	22	58	D3_page_122_part_2.png	0	0	1
15556b28-c6bd-455a-87b6-4b7b3e33d0e4	2	53884124	226741490	8	10	13	D3_page_93_part_4.png	0	0	1
CPCG0241	2	9693687	239470346	23	25	25	HC_page_202_part_2.png	1	1	1
CGP_donor_1230729	1	52686225	58856084	4	7	10	LC_page_34_part_1.png	1	1	1
9d95a65b-e41d-4f93-92d4-99dce29ff40d	13	22617012	47972350	8	13	23	HC_page_59_part_1.png	1	1	1
PCSI_0290	8	42316395	146260778	4	9	14	LC_page_157_part_2.png	1	1	1
EOPC-05	12	20367968	117498112	13	13	13	HC_page_188_part_1.png	1	1	1
4135099	2	53389576	199251373	12	12	12	D3_page_74_part_1.png	0	0	1
TCGA-AO-A0JB	2	60999160	233833419	3	3	8	TCGA-AO-A0JB_chr2_SV_plot.png	0	0	1
8e00e7e7-ffaf-44f0-91a7-172671f18e08	17	26926287	80606072	4	7	7	LC_page_74_part_3.png	1	1	1
8785012f-f73e-4d68-87cf-1d804af32782	21	38958060	45893770	4	6	8	LC_page_51_part_3.png	1	1	1
CGP_donor_1364033	20	23008810	61019046	5	8	44	LC_page_23_part_1.png	1	1	1
556fcbc8-172a-4af1-8822-ae036e8d68e8	11	43215596	134760626	5	7	13	D3_page_2_part_1.png	0	0	1
CGP_donor_1475202	7	8316244	16409139	9	13	13	HC_page_39_part_3.png	1	1	1
b2e2d35c-7a79-4165-97a5-82d5c37d94f2	9	3210824	5514822	3	3	32	D4_page_64_part_4.png	0	0	1
d9dc3b59-613d-469e-8b4f-6c5a557eb26a	3	83571470	194744514	7	11	34	D3_page_31_part_1.png	0	1	0
ICGC_0419	2	33811228	80725292	11	11	11	HC_page_163_part_2.png	1	1	1
368e23f0-e573-4547-bf5a-14080baf737b	9	4921030	131320749	12	15	15	D3_page_70_part_1.png	0	0	1
386b629e-fab1-4033-b088-45d6eeb4a13e	3	126688674	182097458	5	18	18	LC_page_66_part_4.png	1	1	1
OCCAMS-RS-006	17	50758967	64888510	5	11	11	LC_page_82_part_3.png	1	1	1
TCGA-ZF-AA51	8	40152089	56719387	3	3	11	TCGA-ZF-AA51_chr8_SV_plot.png	0	0	1
d67cd793-2931-429a-9084-2f3c4c8be7ad	X	62042944	68767168	3	4	25	D4_page_18_part_1.png	0	0	1
05506f4c-e701-4a9d-ae06-97f066aade43	12	8551694	125253036	13	31	31	D3_page_14_part_1.png	0	0	1
4111337	12	17128247	17295895	6	7	9	D3_page_73_part_4.png	0	0	1
MELA-0002	18	19034698	74083616	7	10	21	HC_page_229_part_3.png	1	1	1
c039014f-821c-43d6-9d3c-914f9c8d98fa	8	49431428	59807696	19	19	19	HC_page_227_part_2.png	1	1	1
b094e8b2-8ece-4b36-8025-18073a8b873c	9	71374858	72890109	4	5	6	D3_page_28_part_2.png	0	0	1
a2ac9937-f351-4d78-9261-264bf6c21e0c	1	5166554	214663754	4	5	8	LC_page_68_part_4.png	1	1	1
CGP_donor_1437409	17	12496853	19488850	3	4	29	D4_page_3_part_1.png	0	0	1
TCGA-AQ-A7U7	10	37486426	39073665	3	3	4	TCGA-AQ-A7U7_chr10_SV_plot.png	0	0	1
PCSI_0468	9	5835505	36865594	5	12	12	LC_page_163_part_1.png	1	1	1
RK254	7	58042074	122691771	9	9	79	HC_page_123_part_2.png	1	1	1
3edf933a-be1a-46e8-bfb0-acdff30e64a0	12	22945549	94815954	16	19	19	HC_page_131_part_3.png	1	1	1
0d66bf6c-eed0-4726-bd5b-3bf6d610b4e0	19	14859949	58216996	4	5	64	LC_page_110_part_4.png	1	1	1
TCGA-W5-AA2M	3	82887410	91362735	3	5	5	TCGA-W5-AA2M_chr3_SV_plot.png	0	0	1
PCSI_0340	5	105643402	116481544	2	3	33	D4_page_49_part_4.png	0	0	1
ICGC_MB110	16	275259	87888760	9	16	18	HC_page_76_part_4.png	1	1	1
eb59cf69-1997-41b9-bf69-69ad7da292a1	1	151719688	220597001	5	5	8	LC_page_65_part_4.png	1	1	1
TCGA-P6-A5OH	21	10708880	43819563	3	4	4	TCGA-P6-A5OH_chr21_SV_plot.png	0	0	1
2ff6aede-7bcd-440b-99ab-7a023faf658e	1	16936361	248844598	39	74	251	HC_page_263_part_2.png	1	1	1
f063ddbb-1668-40df-9ec2-b0a23ca2c389	12	60485092	69941157	4	14	20	LC_page_117_part_2.png	1	1	1
OCCAMS-QE-095	17	25534782	75535929	6	7	56	LC_page_82_part_2.png	1	1	1
73d2e8ef-4e10-416a-845b-f48374e48ecb	3	3279482	196670440	14	24	153	HC_page_266_part_4.png	1	1	1
A32-0019_CRUK_PC_0019	2	171308068	191866282	5	7	14	LC_page_173_part_2.png	1	1	1
70939245-41e0-4845-a473-5fef719b9828	11	67579787	119004447	11	12	12	HC_page_80_part_2.png	1	1	1
ICGC_MB34	17	27146708	67502119	6	15	20	LC_page_71_part_4.png	1	1	1
RK120	9	28658249	39086583	4	8	14	D3_page_64_part_4.png	0	0	1
4da999a0-ef41-4a0b-b1d1-446b39cc855a	18	6714837	10477636	4	5	11	LC_page_46_part_3.png	1	1	1
PCSI_0015	7	56204033	125643006	8	10	36	HC_page_166_part_3.png	1	1	1
CPCG0098	X	26243883	91967097	10	10	10	HC_page_191_part_1.png	1	1	1
MELA-0256	6	161907945	162091620	3	4	4	D4_page_54_part_4.png	0	0	1
2a84997d-ccee-4f46-bea2-752534f26416	14	56204105	67427196	8	19	32	HC_page_52_part_2.png	1	1	1
A17-0095_CRUK_PC_0095	12	10913800	112566167	10	28	42	D3_page_123_part_1.png	0	0	1
65cac997-4d39-4501-85ec-4fcb328a8eb5	19	663441	49460784	5	12	12	D4_page_13_part_4.png	0	0	1
PCSI_0356	8	40478806	140298863	31	32	32	HC_page_180_part_1.png	1	1	1
MELA-0167	7	29323351	150218313	6	10	47	LC_page_181_part_3.png	1	1	1
TCGA-FF-A7CX	10	62670425	90728962	3	3	4	TCGA-FF-A7CX_chr10_SV_plot.png	0	0	1
C0099	2	144120765	214902326	13	13	13	HC_page_105_part_2.png	1	1	1
f6381367-142c-45d0-92b3-c1727d1813ce	6	87766263	107431907	7	7	7	HC_page_228_part_1.png	1	1	1
PCSI_0300	12	24383751	68089214	6	7	72	LC_page_158_part_1.png	1	1	1
CPCG0407	4	127348851	137036859	9	9	9	HC_page_214_part_1.png	1	1	1
OCCAMS-RS-047	11	66812374	111289396	5	6	31	D4_page_25_part_3.png	0	0	1
PCSI_0208	17	27512548	52837653	6	6	17	LC_page_153_part_2.png	1	1	1
AOCS-090	10	11417451	104002149	7	11	11	D3_page_80_part_3.png	0	0	1
ICGC_0392	8	24086553	130006493	7	15	54	HC_page_162_part_1.png	1	1	1
3ed614e7-f356-4d87-985b-d3bbbae3bb40	22	19474849	40455649	4	6	32	LC_page_6_part_4.png	1	1	1
OCCAMS-RS-032	9	15830088	125695294	10	24	25	HC_page_94_part_2.png	1	1	1
d67cd793-2931-429a-9084-2f3c4c8be7ad	17	19599977	80954190	3	4	50	D4_page_17_part_4.png	0	0	1
de7b7cac-f094-4d59-8651-e991e34ea093	16	85956549	89924266	8	11	11	HC_page_76_part_1.png	1	1	1
TCGA-C8-A137	8	76260109	108926658	3	7	30	TCGA-C8-A137_chr8_SV_plot.png	1	1	1
a824b3bd-34d5-4cc1-a92f-f9d6ac0f1814	19	13207846	29674953	7	7	12	D3_page_27_part_1.png	0	1	0
CGP_donor_GC00054	17	37680918	49117586	5	5	20	D3_page_136_part_4.png	0	0	1
8cb0144b-be6b-40a1-86a2-708f96d9b615	20	42226186	62284371	9	9	40	HC_page_281_part_4.png	1	1	1
CGP_donor_1475202	3	4105086	194006757	7	21	48	HC_page_39_part_2.png	1	1	1
ICGC_MB224	17	27090584	78497663	7	14	14	HC_page_78_part_2.png	1	1	1
8e6020a1-68df-4d57-ad4e-33acc0861fb3	3	90291254	183825857	3	9	30	D4_page_37_part_1.png	0	0	1
857a5889-19e7-4208-8362-f1377c408037	10	170347	37518119	7	20	20	HC_page_82_part_3.png	1	1	1
CGP_donor_1347756	6	99814201	149683677	10	10	10	HC_page_66_part_4.png	1	1	1
cb622cd6-776d-4681-8a67-4addd61c66b8	5	94993806	173860097	4	5	94	LC_page_209_part_1.png	1	1	1
A21-0096_CRUK_PC_0096	4	102585699	128146094	28	28	28	HC_page_221_part_4.png	1	1	1
