page	event	quadrant	sample_name	position	oscillating_cn_2&3_states	cn_segments	image_path	Chr	Start	End
1	1	Upper_Left	BTCA_donor_A096	1:120690998−248630158	21, 25	291	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_1_part_1.png	1	120690998	248630158
1	2	Upper_Right	BTCA_donor_B070	19:8183835−57827516	8, 15	67	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_1_part_2.png	19	8183835	57827516
1	3	Lower_Left	BTCA_donor_C080	6:67710168−124238025	7, 11	19	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_1_part_3.png	6	67710168	124238025
1	4	Lower_Right	BTCA_donor_C080	12:15005593−128406118	7, 18	18	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_1_part_4.png	12	15005593	128406118
2	1	Upper_Left	RK142	1:1138581−66347938	14, 26	26	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_2_part_1.png	1	1138581	66347938
2	2	Upper_Right	RK142	14:21707781−107204434	41, 41	41	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_2_part_2.png	14	21707781	107204434
2	3	Lower_Left	RK208	10:24963425−133800853	11, 21	89	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_2_part_3.png	10	24963425	133800853
2	4	Lower_Right	RK307	8:47769789−143083576	9, 13	45	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_2_part_4.png	8	47769789	143083576
3	1	Upper_Left	RK307	14:56412147−79304555	7, 8	11	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_3_part_1.png	14	56412147	79304555
3	2	Upper_Right	RK308	3:999520−181068319	42, 65	65	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_3_part_2.png	3	999520	181068319
3	3	Lower_Left	RK308	6:4291463−102377483	21, 35	54	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_3_part_3.png	6	4291463	102377483
3	4	Lower_Right	RK308	13:20391473−54701211	38, 38	38	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_3_part_4.png	13	20391473	54701211
4	1	Upper_Left	RK308	19:32501825−58859068	17, 30	30	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_4_part_1.png	19	32501825	58859068
4	2	Upper_Right	RK316	9:5597836−123851444	7, 10	50	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_4_part_2.png	9	5597836	123851444
4	3	Lower_Left	096b4f32-10c1-4737-a0dd-cae04c54ee33	3:31044413−84685234	12, 12	12	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_4_part_3.png	3	31044413	84685234
