page	event	quadrant	sample_name	position	oscillating_cn_2&3_states	cn_segments	image_path
26	4	Lower_Right	CGP_donor_1691217		9, 11	29	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/test-picture/page_26_part_4.png
36	4	Lower_Right	CGP_donor_1374616		10, 10	26	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/test-picture/page_36_part_4.png
44	3	Lower_Left	CGP_donor_1230729		7, 7	7	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/test-picture/page_44_part_3.png
49	2	Upper_Right	0bc5744c-5fa3-45bb-87d0-70a02068b392		8, 18	40	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/test-picture/page_49_part_2.png
49	3	Lower_Left	0dca98b0-f43e-45b6-9a02-00092c78678c		23, 37	37	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/test-picture/page_49_part_3.png
55	1	Upper_Left	5dd423e8-feaa-4568-a750-500948c41d6c		10, 17	17	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/test-picture/page_55_part_1.png
75	2	Upper_Right	b37d944c-c65c-46d6-bb8b-3eb37cb85b68		9, 12	12	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/test-picture/page_75_part_2.png
79	2	Upper_Right	ICGC_MB34		7, 10	41	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/test-picture/page_79_part_2.png
86	4	Lower_Right	OCCAMS-AH-064		10, 15	91	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/test-picture/page_86_part_4.png
112	3	Lower_Left	HX28		9, 9	9	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/test-picture/page_112_part_3.png
125	4	Lower_Right	2cd8ea73-cb3f-4b17-9b97-fa12eb03b85b		11, 11	11	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/test-picture/page_125_part_4.png
137	4	Lower_Right	4111337		13, 32	66	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/test-picture/page_137_part_4.png
142	3	Lower_Left	AOCS-064		8, 8	25	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/test-picture/page_142_part_3.png
185	4	Lower_Right	ITNET-0152		122, 122	122	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/test-picture/page_185_part_4.png
191	1	Upper_Left	CPCG0098		10, 10	10	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/test-picture/page_191_part_1.png
232	3	Lower_Left	MELA-0012		11, 34	34	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/test-picture/page_232_part_3.png
244	2	Upper_Right	MELA-0231		9, 14	24	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/test-picture/page_244_part_2.png
249	4	Lower_Right	7b92fcd4-f9be-4b97-94a2-b2e8348aeaba		7, 14	20	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/test-picture/page_249_part_4.png
265	4	Lower_Right	3505f91d-bc66-4732-84b6-18c5b32ca6b8		7, 7	147	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/test-picture/page_265_part_4.png
268	3	Lower_Left	73d2e8ef-4e10-416a-845b-f48374e48ecb		12, 13	13	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/test-picture/page_268_part_3.png
272	3	Lower_Left	854e42bc-95b2-4b77-a4b2-ffbd6c28b281		7, 13	28	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/test-picture/page_272_part_3.png
