page	event	quadrant	sample_name	position	oscillating_cn_2&3_states	cn_segments
1	1	Upper_Left	BTCA_donor_A096	1:120690998−248630158	21, 25	291
1	2	Upper_Right	BTCA_donor_B070	19:8183835−57827516	8, 15	67
1	3	Lower_Left	BTCA_donor_C080	6:67710168−124238025	7, 11	19
1	4	Lower_Right	BTCA_donor_C080	12:15005593−128406118	7, 18	18
2	1	Upper_Left	RK142	1:1138581−66347938	14, 26	26
2	2	Upper_Right	RK142	14:21707781−107204434	41, 41	41
2	3	Lower_Left	RK208	10:24963425−133800853	11, 21	89
2	4	Lower_Right	RK307	8:47769789−143083576	9, 13	45
3	1	Upper_Left	RK307	14:56412147−79304555	7, 8	11
3	2	Upper_Right	RK308	3:999520−181068319	42, 65	65
3	3	Lower_Left	RK308	6:4291463−102377483	21, 35	54
3	4	Lower_Right	RK308	13:20391473−54701211	38, 38	38
4	1	Upper_Left	RK308	19:32501825−58859068	17, 30	30
4	2	Upper_Right	RK316	9:5597836−123851444	7, 10	50
4	3	Lower_Left	096b4f32-10c1-4737-a0dd-cae04c54ee33	3:31044413−84685234	12, 12	12
4	4	Lower_Right	096b4f32-10c1-4737-a0dd-cae04c54ee33	5:67743249−176695147	14, 20	20
5	1	Upper_Left	3ed614e7-f356-4d87-985b-d3bbbae3bb40	16:6669849−31591597	8, 22	22
5	2	Upper_Right	3ed614e7-f356-4d87-985b-d3bbbae3bb40	X:3858348−76848685	7, 7	7
5	3	Lower_Left	493a4ff2-37a5-4b79-928d-83dbfe534556	4:144150885−190874076	9, 16	29
5	4	Lower_Right	5d54c742-5a8e-4c40-8d62-95e75e210ab8	4:72403638−190385402	9, 10	37
6	1	Upper_Left	5d54c742-5a8e-4c40-8d62-95e75e210ab8	12:15725603−31961309	7, 13	13
6	2	Upper_Right	797a71ee-372d-41e5-aeee-5ab3c4661110	13:21033268−104354353	10, 27	41
6	3	Lower_Left	797a71ee-372d-41e5-aeee-5ab3c4661110	20:24187366−56783859	16, 16	16
6	4	Lower_Right	904a8757-e0c5-41ef-b583-c8f170caaac1	8:5291228−33089595	11, 14	14
7	1	Upper_Left	904a8757-e0c5-41ef-b583-c8f170caaac1	21:14511470−48074038	14, 16	43
7	2	Upper_Right	f48937ed-e294-41f0-8872-7010391167a9	2:82560680−181154512	9, 9	9
7	3	Lower_Left	CGP_donor_1437410	6:70986165−164827209	17, 17	17
7	4	Lower_Right	CGP_donor_1437411	1:51871319−244912139	18, 18	18
8	1	Upper_Left	CGP_donor_1437411	2:8888556−242818178	37, 37	37
8	2	Upper_Right	CGP_donor_1437411	4:3484005−186431924	37, 37	37
8	3	Lower_Left	CGP_donor_1437411	5:67575508−163331317	11, 11	20
8	4	Lower_Right	CGP_donor_1437411	6:1694508−170873562	57, 57	57
9	1	Upper_Left	CGP_donor_1602529	4:35358971−48132846	11, 15	15
9	2	Upper_Right	CGP_donor_1691150	1:2737096−33713570	15, 15	15
9	3	Lower_Left	CGP_donor_1691150	18:19084928−61967083	16, 27	27
9	4	Lower_Right	CGP_donor_1841267	16:46689644−89652038	24, 24	24
10	1	Upper_Left	CGP_donor_1397077	6:88458092−155828131	9, 13	40
10	2	Upper_Right	CGP_donor_1397083	16:32468669−82206220	7, 10	19
10	3	Lower_Left	CGP_donor_1397084	1:213162214−247806789	13, 14	30
10	4	Lower_Right	CGP_donor_1397084	8:155450−145113709	8, 20	90
