page	event	quadrant	sample_name	position	oscillating_cn_2&3_states	cn_segments
1	1	Upper_Left	BTCA_donor_A153	1:218376406−246159643	5, 8	8
1	2	Upper_Right	096b4f32-10c1-4737-a0dd-cae04c54ee33	13:42975600−107442606	10, 10	10
1	3	Lower_Left	24f21425-b001-4986-aedf-5b4dd851c6ad	X:6615453−133296546	7, 9	30
1	4	Lower_Right	419deaac-ea45-4bdd-9fa0-b5cd8429b44f	13:20578507−113387449	12, 12	12
2	1	Upper_Left	556fcbc8-172a-4af1-8822-ae036e8d68e8	11:43215596−134760626	5, 7	13
2	2	Upper_Right	904a8757-e0c5-41ef-b583-c8f170caaac1	3:1555799−137115914	7, 7	13
2	3	Lower_Left	cb664eef-be6f-44ef-aa90-6f6da0e6440a	8:47026265−51150625	4, 4	12
2	4	Lower_Right	CGP_donor_1437403	9:3641509−137589235	8, 10	28
3	1	Upper_Left	CGP_donor_1475256	7:43498754−52862136	4, 4	6
3	2	Upper_Right	CGP_donor_1691147	3:78199279−90320009	8, 8	8
3	3	Lower_Left	CGP_donor_1691212	9:14638768−26392657	7, 7	14
3	4	Lower_Right	CGP_donor_1691217	2:59017074−241406602	14, 40	40
4	1	Upper_Left	CGP_donor_1691217	5:82186991−145068339	6, 17	17
4	2	Upper_Right	CGP_donor_1691217	11:819052−86320878	14, 25	25
4	3	Lower_Left	CGP_donor_1691217	19:43092652−56632954	7, 7	10
4	4	Lower_Right	CGP_donor_1232859	8:91550520−101047671	7, 12	12
5	1	Upper_Left	CGP_donor_1333048	4:22856554−121362620	11, 14	14
5	2	Upper_Right	CGP_donor_1347742	3:25050231−162503837	9, 11	11
5	3	Lower_Left	CGP_donor_1347751	1:1174539−247054567	38, 50	50
5	4	Lower_Right	CGP_donor_1347751	2:11684173−217099835	30, 56	56
6	1	Upper_Left	CGP_donor_1347751	3:2964392−195733210	9, 25	27
6	2	Upper_Right	CGP_donor_1347751	7:63018209−154939154	16, 20	20
6	3	Lower_Left	CGP_donor_1347751	15:34326314−93601501	13, 19	19
6	4	Lower_Right	CGP_donor_1347751	16:1073804−87928916	10, 19	19
7	1	Upper_Left	CGP_donor_1347751	20:11282201−60847010	8, 8	8
7	2	Upper_Right	CGP_donor_1353427	6:100548524−101591934	7, 7	11
7	3	Lower_Left	CGP_donor_1353434	6:104620681−144195202	5, 5	5
7	4	Lower_Right	CGP_donor_1364033	2:2226914−240877127	7, 12	12
8	1	Upper_Left	CGP_donor_1397278	2:22430768−219287015	9, 21	23
8	2	Upper_Right	CGP_donor_1397278	7:5041125−108355553	16, 16	16
8	3	Lower_Left	CGP_donor_1397278	15:33060156−81482186	8, 13	13
8	4	Lower_Right	CGP_donor_1397278	X:12671854−155005826	7, 9	9
9	1	Upper_Left	CGP_donor_1475200	2:81350895−234457223	7, 12	14
9	2	Upper_Right	CGP_donor_1069291	2:30546371−228922869	9, 9	22
9	3	Lower_Left	CGP_donor_1069291	14:23497943−75621029	10, 14	14
9	4	Lower_Right	CGP_donor_1167079	6:6984465−157517645	10, 13	13
10	1	Upper_Left	CGP_donor_1199138	6:146079326−157043927	8, 11	11
10	2	Upper_Right	CGP_donor_1230785	1:10186027−116894133	11, 15	32
10	3	Lower_Left	CGP_donor_1347745	6:22611379−97921915	7, 8	30
10	4	Lower_Right	CGP_donor_1353432	18:20297595−48213819	5, 7	12
11	1	Upper_Left	CGP_donor_1353432	20:34182540−35338513	4, 5	13
11	2	Upper_Right	CGP_donor_1363969	1:20593050−248597403	8, 9	59
11	3	Lower_Left	CGP_donor_1374619	6:12789227−162322086	13, 15	18
11	4	Lower_Right	CGP_donor_1410205	3:7876202−196628059	8, 9	20
12	1	Upper_Left	CGP_donor_1410205	7:6389159−157049440	7, 15	15
12	2	Upper_Right	CGP_donor_1410210	11:2846968−112273249	9, 21	37
12	3	Lower_Left	CGP_donor_1410210	12:972252−79594700	7, 7	11
12	4	Lower_Right	CGP_donor_1472394	4:19561889−181450628	7, 23	23
13	1	Upper_Left	CGP_donor_1472394	5:31416901−59923452	10, 10	10
13	2	Upper_Right	CGP_donor_1472394	6:4012667−165902670	11, 11	11
13	3	Lower_Left	CGP_donor_1472395	5:161143076−169493045	10, 14	15
13	4	Lower_Right	05506f4c-e701-4a9d-ae06-97f066aade43	11:8956771−130101571	15, 15	24
14	1	Upper_Left	05506f4c-e701-4a9d-ae06-97f066aade43	12:8551694−125253036	13, 31	31
14	2	Upper_Right	05506f4c-e701-4a9d-ae06-97f066aade43	17:7564505−56539923	9, 14	23
14	3	Lower_Left	05506f4c-e701-4a9d-ae06-97f066aade43	21:18301501−38211721	12, 12	12
14	4	Lower_Right	0dca98b0-f43e-45b6-9a02-00092c78678c	3:4014626−181407638	8, 8	43
15	1	Upper_Left	0dca98b0-f43e-45b6-9a02-00092c78678c	22:30225731−42768139	7, 12	12
15	2	Upper_Right	1557183c-aedd-4df6-b98a-3654667f7b69	14:23971383−48794055	10, 13	17
15	3	Lower_Left	174850b4-5ec2-462b-a890-89bd1716b3c2	1:2158692−242947867	8, 11	29
15	4	Lower_Right	174850b4-5ec2-462b-a890-89bd1716b3c2	2:25587490−225396473	11, 11	46
16	1	Upper_Left	18eb4dfc-556f-4bf3-a411-4780209ed1e0	6:1006535−165186446	7, 10	23
16	2	Upper_Right	2a84997d-ccee-4f46-bea2-752534f26416	3:4487143−195190136	11, 15	89
16	3	Lower_Left	2a84997d-ccee-4f46-bea2-752534f26416	4:1211134−170990779	7, 21	37
16	4	Lower_Right	2a84997d-ccee-4f46-bea2-752534f26416	8:17394507−100542792	10, 16	16
17	1	Upper_Left	2a84997d-ccee-4f46-bea2-752534f26416	11:16375267−126235971	7, 29	29
17	2	Upper_Right	2a84997d-ccee-4f46-bea2-752534f26416	13:23906490−101146717	14, 20	20
17	3	Lower_Left	2a84997d-ccee-4f46-bea2-752534f26416	16:148109−89946753	7, 28	39
17	4	Lower_Right	2a84997d-ccee-4f46-bea2-752534f26416	X:2221350−153108115	23, 23	28
18	1	Upper_Left	441919eb-8c9f-478c-bda3-8de4f8295e8a	3:3385898−154169466	7, 9	31
18	2	Upper_Right	441919eb-8c9f-478c-bda3-8de4f8295e8a	6:6025768−153367099	7, 19	26
18	3	Lower_Left	441919eb-8c9f-478c-bda3-8de4f8295e8a	8:1680713−143764779	7, 8	56
18	4	Lower_Right	5ed024e8-d05e-4c65-9441-eda9930ccc82	2:2340260−239159179	14, 24	47
19	1	Upper_Left	5ed024e8-d05e-4c65-9441-eda9930ccc82	5:3827801−176614919	28, 39	39
19	2	Upper_Right	5ed024e8-d05e-4c65-9441-eda9930ccc82	9:66454886−110368911	8, 8	14
19	3	Lower_Left	5ed024e8-d05e-4c65-9441-eda9930ccc82	11:34123374−49526843	4, 5	23
19	4	Lower_Right	5ed024e8-d05e-4c65-9441-eda9930ccc82	12:1602975−124219176	11, 21	21
20	1	Upper_Left	5ed024e8-d05e-4c65-9441-eda9930ccc82	14:32732923−74134194	8, 8	8
20	2	Upper_Right	5ed024e8-d05e-4c65-9441-eda9930ccc82	15:43723632−62360621	5, 5	12
20	3	Lower_Left	5ed024e8-d05e-4c65-9441-eda9930ccc82	16:421761−85786009	17, 17	17
20	4	Lower_Right	5ed024e8-d05e-4c65-9441-eda9930ccc82	17:26864514−75974296	7, 11	20
21	1	Upper_Left	5ed024e8-d05e-4c65-9441-eda9930ccc82	19:998026−47861482	8, 15	21
21	2	Upper_Right	5ed024e8-d05e-4c65-9441-eda9930ccc82	20:25612239−58105683	7, 11	11
21	3	Lower_Left	65cac997-4d39-4501-85ec-4fcb328a8eb5	1:149881190−243814704	7, 12	36
21	4	Lower_Right	65cac997-4d39-4501-85ec-4fcb328a8eb5	6:1730813−139089485	13, 19	21
22	1	Upper_Left	65cac997-4d39-4501-85ec-4fcb328a8eb5	7:95697844−156942103	7, 10	18
22	2	Upper_Right	6956473b-92e5-4069-a26b-b48e280e76f2	8:127655333−142568575	4, 6	6
22	3	Lower_Left	7861a5f2-8910-4bcb-9c34-f79c5acd6e21	8:107480527−115223161	4, 7	32
22	4	Lower_Right	786e8dbe-442e-4551-87b3-b4c333b04dd4	3:5449076−156876693	4, 6	44
23	1	Upper_Left	8785012f-f73e-4d68-87cf-1d804af32782	6:1759680−160510927	10, 18	30
23	2	Upper_Right	8785012f-f73e-4d68-87cf-1d804af32782	10:949660−110004864	8, 15	31
23	3	Lower_Left	88db1340-e4bf-451a-87c0-6e9168296f5e	19:2788499−51420171	11, 20	20
23	4	Lower_Right	8bd68696-5eeb-46d7-9dc6-c39c849029a4	2:4653440−175863031	9, 15	24
24	1	Upper_Left	993103b1-e5a1-4c33-8629-be53ebc41d64	10:110197032−121335390	7, 7	7
24	2	Upper_Right	9f6be944-83de-42ab-8738-f0022f475e61	3:9745722−194626444	12, 14	60
24	3	Lower_Left	9f6be944-83de-42ab-8738-f0022f475e61	5:10244050−179437055	11, 11	28
24	4	Lower_Right	9f6be944-83de-42ab-8738-f0022f475e61	7:27995787−139646245	15, 16	31
25	1	Upper_Left	9f6be944-83de-42ab-8738-f0022f475e61	1:2210884−224017647	7, 10	61
25	2	Upper_Right	9f6be944-83de-42ab-8738-f0022f475e61	X:64211866−154270745	14, 23	28
25	3	Lower_Left	9fefbe7c-f66a-4940-843e-285cb7b392c1	5:74688832−80707030	6, 11	25
25	4	Lower_Right	9fefbe7c-f66a-4940-843e-285cb7b392c1	9:21844042−112515969	5, 10	16
26	1	Upper_Left	a824b3bd-34d5-4cc1-a92f-f9d6ac0f1814	2:26459899−233537709	11, 14	14
26	2	Upper_Right	a824b3bd-34d5-4cc1-a92f-f9d6ac0f1814	3:29682227−151361518	7, 13	31
26	3	Lower_Left	a824b3bd-34d5-4cc1-a92f-f9d6ac0f1814	6:134899220−141764105	7, 17	17
26	4	Lower_Right	a824b3bd-34d5-4cc1-a92f-f9d6ac0f1814	7:123121252−157394758	5, 9	9
27	1	Upper_Left	a824b3bd-34d5-4cc1-a92f-f9d6ac0f1814	19:13207846−29674953	7, 7	12
27	2	Upper_Right	b094e8b2-8ece-4b36-8025-18073a8b873c	10:84390295−134360314	11, 11	54
27	3	Lower_Left	b094e8b2-8ece-4b36-8025-18073a8b873c	3:4164393−197488086	7, 17	47
27	4	Lower_Right	b094e8b2-8ece-4b36-8025-18073a8b873c	6:107054725−113512450	4, 4	32
